Sample	stress	rpkm_sum	Sample Title	Cultivar	Variety	Variety2	Variety3	Type	Preparation	Preparation2	spoilage	inoculation_fortification	Fermentation (days)	Fermentation_class	Group	pH	conc_NaCl	g_L_lactic_acid
O123	bile salt	13397.50382	CP2	Pit'ze Carroga	Pit'ze Carroga	Others	Others	Green olives	Natural olives	Natural olives	None	None	150	days ≤ 170	Copar	3.75	34.79124739	13.45064286
O123	osmosis	198591.4781	CP2	Pit'ze Carroga	Pit'ze Carroga	Others	Others	Green olives	Natural olives	Natural olives	None	None	150	days ≤ 170	Copar	3.75	34.79124739	13.45064286
O123	pH	361506.6196	CP2	Pit'ze Carroga	Pit'ze Carroga	Others	Others	Green olives	Natural olives	Natural olives	None	None	150	days ≤ 170	Copar	3.75	34.79124739	13.45064286
O123	temperature	528075.3117	CP2	Pit'ze Carroga	Pit'ze Carroga	Others	Others	Green olives	Natural olives	Natural olives	None	None	150	days ≤ 170	Copar	3.75	34.79124739	13.45064286
O124	bile salt	86997.85508	CP3	Pit'ze Carroga	Pit'ze Carroga	Others	Others	Green olives	Natural olives	Natural olives	None	None	150	days ≤ 170	Copar	3.8	38.38221201	10.69732727
O124	osmosis	171125.5315	CP3	Pit'ze Carroga	Pit'ze Carroga	Others	Others	Green olives	Natural olives	Natural olives	None	None	150	days ≤ 170	Copar	3.8	38.38221201	10.69732727
O124	pH	320624.8436	CP3	Pit'ze Carroga	Pit'ze Carroga	Others	Others	Green olives	Natural olives	Natural olives	None	None	150	days ≤ 170	Copar	3.8	38.38221201	10.69732727
O124	temperature	613235.2833	CP3	Pit'ze Carroga	Pit'ze Carroga	Others	Others	Green olives	Natural olives	Natural olives	None	None	150	days ≤ 170	Copar	3.8	38.38221201	10.69732727
O125	bile salt	0	J1	Okal	Okal	Others	Others	Green olives	Specialties	Specialties	None	None	170	days ≤ 170	Jaen1	4.45	40.49	0.52405102
O125	osmosis	76166.49734	J1	Okal	Okal	Others	Others	Green olives	Specialties	Specialties	None	None	170	days ≤ 170	Jaen1	4.45	40.49	0.52405102
O125	pH	268106.6605	J1	Okal	Okal	Others	Others	Green olives	Specialties	Specialties	None	None	170	days ≤ 170	Jaen1	4.45	40.49	0.52405102
O125	temperature	891382.946	J1	Okal	Okal	Others	Others	Green olives	Specialties	Specialties	None	None	170	days ≤ 170	Jaen1	4.45	40.49	0.52405102
O126	bile salt	383.2688579	J2	Cornenzuelo de Jaén	Cornenzuelo de Jaén	Others	Others	Green olives	Specialties	Specialties	None	None	170	days ≤ 170	Jaen1	4.85	31.27	0.66674
O126	osmosis	7692.595105	J2	Cornenzuelo de Jaén	Cornenzuelo de Jaén	Others	Others	Green olives	Specialties	Specialties	None	None	170	days ≤ 170	Jaen1	4.85	31.27	0.66674
O126	pH	455546.2174	J2	Cornenzuelo de Jaén	Cornenzuelo de Jaén	Others	Others	Green olives	Specialties	Specialties	None	None	170	days ≤ 170	Jaen1	4.85	31.27	0.66674
O126	temperature	210008.6366	J2	Cornenzuelo de Jaén	Cornenzuelo de Jaén	Others	Others	Green olives	Specialties	Specialties	None	None	170	days ≤ 170	Jaen1	4.85	31.27	0.66674
O127	bile salt	0	J3	Okal	Okal	Others	Others	Green olives	Specialties	Specialties	None	None	170	days ≤ 170	Jaen1	4.45	48.52	4.137244898
O127	osmosis	5687.439485	J3	Okal	Okal	Others	Others	Green olives	Specialties	Specialties	None	None	170	days ≤ 170	Jaen1	4.45	48.52	4.137244898
O127	pH	480219.5472	J3	Okal	Okal	Others	Others	Green olives	Specialties	Specialties	None	None	170	days ≤ 170	Jaen1	4.45	48.52	4.137244898
O127	temperature	172225.9078	J3	Okal	Okal	Others	Others	Green olives	Specialties	Specialties	None	None	170	days ≤ 170	Jaen1	4.45	48.52	4.137244898
O128	bile salt	92945.2827	J4	Cornenzuelo de Jaén	Cornenzuelo de Jaén	Others	Others	Green olives	Specialties	Specialties	None	None	170	days ≤ 170	Jaen1	4.32	42.09	3.92836
O128	osmosis	168742.7755	J4	Cornenzuelo de Jaén	Cornenzuelo de Jaén	Others	Others	Green olives	Specialties	Specialties	None	None	170	days ≤ 170	Jaen1	4.32	42.09	3.92836
O128	pH	307007.0096	J4	Cornenzuelo de Jaén	Cornenzuelo de Jaén	Others	Others	Green olives	Specialties	Specialties	None	None	170	days ≤ 170	Jaen1	4.32	42.09	3.92836
O128	temperature	647924.5068	J4	Cornenzuelo de Jaén	Cornenzuelo de Jaén	Others	Others	Green olives	Specialties	Specialties	None	None	170	days ≤ 170	Jaen1	4.32	42.09	3.92836
O129	bile salt	0	J5	Okal	Okal	Others	Others	Green olives	Specialties	Specialties	None	None	170	days ≤ 170	Jaen1	4.59	6.12	0.56763
O129	osmosis	8749.46433	J5	Okal	Okal	Others	Others	Green olives	Specialties	Specialties	None	None	170	days ≤ 170	Jaen1	4.59	6.12	0.56763
O129	pH	300795.9603	J5	Okal	Okal	Others	Others	Green olives	Specialties	Specialties	None	None	170	days ≤ 170	Jaen1	4.59	6.12	0.56763
O129	temperature	960019.1207	J5	Okal	Okal	Others	Others	Green olives	Specialties	Specialties	None	None	170	days ≤ 170	Jaen1	4.59	6.12	0.56763
O131	bile salt	57738.72504	MO2	Termite di Bitetto	Termite di Bitetto	Others	Others	Olives turning color	Natural olives	Natural olives	None	None	210	170 < days ≤ 240	NA	NA	NA	NA
O131	osmosis	152271.93	MO2	Termite di Bitetto	Termite di Bitetto	Others	Others	Olives turning color	Natural olives	Natural olives	None	None	210	170 < days ≤ 240	NA	NA	NA	NA
O131	pH	336225.4533	MO2	Termite di Bitetto	Termite di Bitetto	Others	Others	Olives turning color	Natural olives	Natural olives	None	None	210	170 < days ≤ 240	NA	NA	NA	NA
